iter	Passed	Remaining
403	6051	8926
404	6057	8899
405	6064	8872
406	6071	8846
407	6079	8821
408	6090	8800
409	6097	8773
410	6104	8748
411	6112	8723
412	6120	8698
413	6127	8673
414	6132	8644
415	6140	8620
416	6146	8593
417	6152	8567
418	6159	8541
419	6164	8513
420	6174	8491
421	6181	8466
422	6191	8445
423	6201	8425
424	6208	8399
425	6214	8372
426	6221	8349
427	6228	8324
428	6237	8301
429	6243	8276
430	6249	8250
431	6257	8227
432	6264	8203
433	6275	8183
434	6283	8161
435	6289	8136
436	6332	8158
437	6350	8148
438	6359	8126
439	6369	8106
440	6378	8085
441	6418	8102
442	6434	8090
443	6448	8074
444	6467	8066
445	6491	8063
446	6510	8054
447	6527	8042
448	6561	8051
449	6593	8059
450	6641	8084
451	6650	8062
452	6659	8040
453	6670	8021
454	6682	8004
455	6700	7993
456	6704	7966
457	6710	7941
458	6720	7921
459	6733	7904
460	6740	7880
461	6758	7870
462	6768	7850
463	6775	7826
464	6786	7807
465	6803	7796
466	6823	7788
467	6863	7802
468	6887	7798
469	6908	7790
470	6916	7768
471	6930	7752
472	6950	7743
473	6965	7729
474	6973	7707
475	6988	7693
476	6997	7672
477	7007	7652
478	7017	7632
479	7029	7615
480	7040	7596
481	7054	7581
482	7063	7560
483	7072	7539
484	7077	7514
485	7084	7492
486	7091	7470
487	7097	7446
488	7104	7424
489	7110	7400
490	7118	7378
491	7123	7355
492	7128	7330
493	7135	7308
494	7140	7284
495	7145	7260
496	7150	7236
497	7155	7212
498	7160	7189
499	7166	7166
500	7171	7142
501	7177	7120
502	7183	7097
503	7189	7074
504	7194	7052
505	7200	7029
506	7209	7010
507	7215	6988
508	7222	6967
509	7227	6944
510	7236	6925
511	7244	6905
512	7252	6884
513	7258	6862
514	7270	6846
515	7278	6827
516	7285	6805
517	7291	6784
518	7299	6764
519	7311	6749
520	7316	6726
521	7326	6709
522	7332	6687
523	7343	6671
524	7360	6659
525	7378	6649
526	7384	6628
527	7392	6608
528	7398	6587
529	7407	6568
530	7412	6547
531	7419	6526
532	7424	6504
533	7431	6484
534	7438	6465
535	7443	6443
536	7450	6424
537	7457	6403
538	7462	6382
539	7469	6362
540	7475	6342
541	7482	6322
542	7489	6303
543	7496	6284
544	7503	6264
545	7508	6243
546	7517	6225
547	7524	6206
548	7534	6189
549	7539	6168
550	7546	6149
551	7559	6135
552	7571	6120
553	7580	6102
554	7592	6087
555	7599	6068
556	7608	6050
557	7615	6032
558	7621	6013
559	7628	5994
560	7633	5973
561	7641	5955
562	7647	5935
563	7654	5917
564	7661	5899
565	7667	5879
566	7672	5859
567	7678	5840
568	7683	5819
569	7689	5800
570	7695	5781
571	7700	5761
572	7705	5741
573	7710	5722
574	7717	5704
575	7722	5684
576	7728	5665
577	7735	5647
578	7741	5628
579	7745	5608
580	7751	5590
581	7756	5571
582	7762	5552
583	7768	5533
584	7775	5515
585	7780	5497
586	7787	5479
587	7792	5460
588	7798	5441
589	7804	5423
590	7811	5405
591	7816	5386
592	7823	5369
593	7827	5349
594	7832	5331
595	7838	5313
596	7843	5294
597	7849	5277
598	7856	5259
599	7863	5242
600	7870	5225
601	7880	5210
602	7886	5192
603	7891	5173
604	7899	5157
605	7904	5139
606	7910	5121
607	7916	5103
608	7920	5085
609	7927	5068
610	7932	5050
611	7938	5032
612	7946	5017
613	7952	4999
614	7958	4982
615	7967	4966
616	7974	4950
617	7979	4932
618	7988	4916
619	7995	4900
620	8003	4884
621	8009	4867
622	8015	4850
623	8020	4833
624	8027	4816
625	8033	4799
626	8041	4783
627	8047	4767
628	8053	4750
629	8060	4733
630	8066	4716
631	8074	4701
632	8079	4684
633	8086	4668
634	8093	4652
635	8098	4635
636	8110	4621
637	8115	4604
638	8120	4587
639	8127	4571
640	8133	4555
641	8140	4539
642	8145	4522
643	8151	4506
644	8159	4490
645	8165	4474
646	8174	4459
647	8179	4442
648	8186	4427
649	8191	4410
650	8198	4395
651	8205	4379
652	8211	4363
653	8217	4347
654	8223	4331
655	8228	4314
656	8234	4299
657	8240	4283
658	8247	4267
659	8254	4252
660	8258	4235
661	8263	4219
662	8270	4204
663	8275	4187
664	8280	4171
665	8287	4156
666	8293	4140
667	8298	4124
668	8303	4108
669	8309	4092
670	8314	4076
671	8319	4060
672	8325	4045
673	8331	4029
674	8336	4013
675	8342	3998
676	8349	3983
677	8354	3967
678	8359	3951
679	8364	3936
680	8369	3920
681	8377	3906
682	8385	3891
683	8393	3877
684	8398	3862
685	8403	3846
686	8410	3831
687	8416	3816
688	8422	3801
689	8428	3786
690	8432	3770
691	8440	3756
692	8445	3741
693	8450	3726
694	8456	3711
695	8460	3695
696	8465	3680
697	8473	3666
698	8479	3651
699	8484	3636
700	8491	3621
701	8496	3606
702	8502	3592
703	8508	3577
704	8513	3562
705	8520	3548
706	8526	3533
707	8532	3518
708	8540	3505
709	8544	3490
710	8552	3476
711	8560	3462
712	8570	3449
713	8576	3435
714	8582	3421
715	8590	3407
716	8597	3393
717	8603	3379
718	8608	3364
719	8619	3351
720	8623	3337
721	8632	3323
722	8637	3309
723	8643	3295
724	8650	3281
725	8656	3266
726	8662	3253
727	8667	3238
728	8681	3227
729	8692	3215
730	8700	3201
731	8707	3187
732	8712	3173
733	8718	3159
734	8724	3145
735	8730	3131
736	8735	3117
737	8742	3103
738	8747	3089
739	8754	3075
740	8761	3062
741	8766	3048
742	8774	3035
743	8779	3020
744	8787	3007
745	8798	2995
746	8804	2982
747	8810	2968
748	8817	2954
749	8823	2941
750	8828	2927
751	8834	2913
752	8841	2900
753	8847	2886
754	8854	2873
755	8861	2859
756	8869	2847
757	8875	2833
758	8890	2823
759	8900	2810
760	8907	2797
761	8914	2784
762	8923	2771
763	8931	2758
764	8939	2746
765	8954	2735
766	8962	2722
767	8970	2709
768	8977	2696
769	8989	2685
770	8999	2672
771	9008	2660
772	9015	2647
773	9024	2634
774	9031	2622
775	9041	2610
776	9047	2596
777	9060	2585
778	9066	2572
779	9075	2559
780	9085	2547
781	9097	2536
782	9105	2523
783	9111	2510
784	9121	2498
785	9128	2485
786	9133	2471
787	9140	2459
788	9144	2445
789	9150	2432
790	9155	2419
791	9159	2405
792	9167	2392
793	9172	2379
794	9176	2366
795	9183	2353
796	9189	2340
797	9194	2327
798	9201	2314
799	9210	2302
800	9215	2289
801	9235	2280
802	9243	2267
803	9248	2254
804	9254	2241
805	9258	2228
806	9263	2215
807	9269	2202
808	9274	2189
809	9281	2177
810	9293	2165
811	9301	2153
812	9306	2140
813	9312	2127
814	9316	2114
815	9321	2101
816	9328	2089
817	9332	2076
818	9337	2063
819	9346	2051
820	9350	2038
821	9356	2026
822	9360	2013
823	9365	2000
824	9370	1987
825	9376	1975
826	9380	1962
827	9386	1949
828	9393	1937
829	9400	1925
830	9405	1912
831	9410	1900
832	9417	1888
833	9424	1875
834	9429	1863
835	9434	1850
836	9439	1838
837	9443	1825
838	9448	1813
839	9453	1800
840	9458	1788
841	9462	1775
842	9468	1763
843	9473	1751
844	9478	1738
845	9486	1726
846	9491	1714
847	9496	1702
848	9501	1689
849	9506	1677
850	9511	1665
851	9515	1652
852	9522	1641
853	9527	1628
854	9531	1616
855	9539	1604
856	9544	1592
857	9551	1580
858	9555	1568
859	9560	1556
860	9570	1544
861	9575	1532
862	9582	1521
863	9586	1509
864	9594	1497
865	9601	1485
866	9606	1473
867	9612	1461
868	9617	1449
869	9622	1437
870	9629	1426
871	9633	1414
872	9639	1402
873	9643	1390
874	9648	1378
875	9652	1366
876	9657	1354
877	9662	1342
878	9667	1330
879	9672	1318
880	9677	1307
881	9683	1295
882	9689	1283
883	9694	1272
884	9698	1260
885	9703	1248
886	9709	1236
887	9713	1225
888	9720	1213
889	9726	1202
890	9730	1190
891	9734	1178
892	9740	1167
893	9747	1155
894	9755	1144
895	9760	1132
896	9766	1121
897	9772	1110
898	9777	1098
899	9782	1086
900	9788	1075
901	9794	1064
902	9799	1052
903	9808	1041
904	9814	1030
905	9821	1018
906	9827	1007
907	9833	996
908	9838	984
909	9844	973
910	9850	962
911	9854	950
912	9864	939
913	9869	928
914	9876	917
915	9882	906
916	9887	894
917	9901	884
918	9909	873
919	9915	862
920	9920	850
921	9925	839
922	9930	828
923	9936	817
924	9942	806
925	9947	794
926	9955	783
927	9960	772
928	9966	761
929	9971	750
930	9978	739
931	9983	728
932	9990	717
933	9997	706
934	10002	695
935	10009	684
936	10013	673
937	10018	662
938	10024	651
939	10028	640
940	10034	629
941	10038	618
942	10043	607
943	10048	596
944	10055	585
945	10060	574
946	10065	563
947	10072	552
948	10077	541
949	10082	530
950	10087	519
951	10092	508
952	10098	498
953	10106	487
954	10114	476
955	10119	465
956	10124	454
957	10130	444
958	10137	433
959	10141	422
960	10147	411
961	10154	401
962	10160	390
963	10166	379
964	10172	368
965	10178	358
966	10183	347
967	10188	336
968	10196	326
969	10200	315
970	10206	304
971	10211	294
972	10218	283
973	10223	272
974	10227	262
975	10233	251
976	10237	241
977	10242	230
978	10247	219
979	10253	209
980	10257	198
981	10263	188
982	10267	177
983	10273	167
984	10279	156
985	10283	146
986	10288	135
987	10295	125
988	10299	114
989	10305	104
990	10311	93
991	10315	83
992	10321	72
993	10327	62
994	10332	51
995	10337	41
996	10342	31
997	10346	20
998	10351	10
999	10358	0
963	12658	472
964	12669	459
965	12674	446
966	12692	433
967	12705	420
968	12713	406
969	12722	393
970	12736	380
971	12745	367
972	12754	353
973	12760	340
974	12766	327
975	12775	314
976	12783	300
977	12791	287
978	12799	274
979	12806	261
980	12815	248
981	12823	235
982	12835	221
983	12846	208
984	12851	195
985	12856	182
986	12861	169
987	12865	156
988	12870	143
989	12876	130
990	12880	116
991	12886	103
992	12892	90
993	12897	77
994	12903	64
995	12907	51
996	12911	38
997	12918	25
998	12924	12
999	12928	0
	28317	1272
957	28337	1242
958	28360	1212
959	28385	1182
960	28401	1152
961	28462	1124
962	28501	1095
963	28516	1064
964	28525	1034
965	28545	1004
966	28554	974
967	28562	944
968	28573	914
969	28582	883
970	28592	853
971	28600	823
972	28608	793
973	28616	763
974	28628	734
975	28637	704
976	28647	674
977	28656	644
978	28663	614
979	28671	585
980	28678	555
981	28687	525
982	28695	496
983	28706	466
984	28714	437
985	28721	407
986	28727	378
987	28735	349
988	28742	319
989	28749	290
990	28756	261
991	28763	231
992	28771	202
993	28779	173
994	28788	144
995	28795	115
996	28803	86
997	28810	57
998	28820	28
999	28827	0
