iter	RMSE
0	163.3208017
1	156.970526
2	150.7038346
3	145.0884309
4	139.9382607
5	134.8251493
6	130.2137805
7	125.8517644
8	121.6748007
9	117.8058236
10	114.0973923
11	110.4673845
12	107.0360265
13	103.8307544
14	101.0372799
15	98.46908099
16	95.90291836
17	93.45485994
18	91.26092558
19	88.9095118
20	86.90837786
21	85.02784738
22	83.3949793
23	81.75185858
24	80.08397593
25	78.78116625
26	77.55799411
27	76.47145205
28	75.34216885
29	74.39107245
30	73.18742064
31	72.2218153
32	71.0980429
33	70.14309394
34	69.36217592
35	68.42113718
36	67.50958685
37	66.7703062
38	66.0078353
39	65.35749024
40	64.71045654
41	64.14567986
42	63.59209615
43	63.12079272
44	62.63851886
45	62.22060002
46	61.76828467
47	61.21148235
48	60.84526049
49	60.41430359
50	59.82242661
51	59.45370691
52	59.04620918
53	58.58161076
54	58.05253296
55	57.79707217
56	57.51374051
57	57.16289765
58	56.89019454
59	56.60312368
60	56.35258186
61	56.13119479
62	55.73633826
63	55.33007379
64	54.98441904
65	54.73055098
66	54.44061772
67	54.26561947
68	54.03708906
69	53.71932292
70	53.56479494
71	53.37989792
72	53.07827884
73	52.87445447
74	52.67081104
75	52.42002414
76	52.29640014
77	51.96760493
78	51.7271507
79	51.38978193
80	51.14699482
81	50.87670775
82	50.73000058
83	50.50100989
84	50.24983005
85	50.11720196
86	49.97164958
87	49.72085694
88	49.56201326
89	49.38284643
90	49.19951274
91	49.10415868
92	48.881189
93	48.73913066
94	48.56118923
95	48.40377147
96	48.30853474
97	48.0983735
98	47.92222309
99	47.8083667
100	47.66664399
101	47.49666413
102	47.41343733
103	47.2609167
104	47.09631356
105	47.00994274
106	46.8453198
107	46.74165596
108	46.55971058
109	46.41135414
110	46.2925127
111	46.17023972
112	46.01501758
113	45.86021243
114	45.78185165
115	45.72102009
116	45.55973217
117	45.4615369
118	45.30976207
119	45.15389007
120	45.02751892
121	44.87107938
122	44.71855273
123	44.51781034
124	44.38134755
125	44.28173197
126	44.14992727
127	43.96110837
128	43.86724042
129	43.75005035
130	43.64235761
131	43.52751902
132	43.38290846
133	43.27609252
134	43.12341012
135	42.98453606
136	42.8629574
137	42.73825046
138	42.60899261
139	42.50344631
140	42.34942169
141	42.27554582
142	42.15644829
143	42.04383361
144	41.93297951
145	41.81004391
146	41.66816611
147	41.56829145
148	41.45796063
149	41.3314073
150	41.27209717
151	41.14861651
152	41.00932384
153	40.88057576
154	40.80420478
155	40.65746901
156	40.54776556
157	40.4920807
158	40.4024239
159	40.25395256
160	40.12719213
161	40.0650985
162	39.93912242
163	39.81708758
164	39.68548804
165	39.59925784
166	39.48862517
167	39.42303556
168	39.33320155
169	39.25090624
170	39.16500508
171	39.0373637
172	38.91995133
173	38.81415422
174	38.72232383
175	38.66508124
176	38.56938201
177	38.47491669
178	38.38012379
179	38.28112096
180	38.18664944
181	38.07740261
182	38.00261032
183	37.91254543
184	37.83201338
185	37.78588342
186	37.72911967
187	37.58956044
188	37.49562684
189	37.36670879
190	37.26878216
191	37.19101119
192	37.15449931
193	37.07623166
194	36.95731632
195	36.86578638
196	36.76991906
197	36.69032748
198	36.61224923
199	36.57753495
200	36.49307553
201	36.41720864
202	36.38427861
203	36.29864044
204	36.1896617
205	36.06654588
206	35.99364114
207	35.95801883
208	35.92941254
209	35.85751481
210	35.75969885
211	35.67821176
212	35.6115295
213	35.50141895
214	35.40167152
215	35.37634662
216	35.2792479
217	35.20675358
218	35.14431728
219	35.01467572
220	34.91888657
221	34.85512076
222	34.78503901
223	34.71477212
224	34.64158388
225	34.58409967
226	34.55672925
227	34.50204054
228	34.38496453
229	34.32840043
230	34.26186251
231	34.19990257
232	34.09341779
233	34.02847338
234	33.98575428
235	33.9033758
236	33.84278389
237	33.79006549
238	33.73218522
239	33.65202041
240	33.55609392
241	33.50715707
242	33.43342049
243	33.38000341
244	33.35455792
245	33.31003158
246	33.24625284
247	33.18714343
248	33.12089004
249	33.07683089
250	32.99369178
251	32.92805515
252	32.87145122
253	32.8031111
254	32.74541903
255	32.68093284
256	32.60313093
257	32.54379115
258	32.47746387
259	32.4216212
260	32.37396989
261	32.35361061
262	32.31578779
263	32.27978864
264	32.2362684
265	32.18923472
266	32.12884322
267	32.06970755
268	32.02818509
269	32.00377619
270	31.9296018
271	31.88423601
272	31.84093509
273	31.81827695
274	31.76803236
275	31.71604114
276	31.66069281
277	31.62783171
278	31.57387749
279	31.51066757
280	31.46359072
281	31.41865437
282	31.34430687
283	31.30321385
284	31.2468689
285	31.17460584
286	31.15702803
287	31.12220633
288	31.05583108
289	31.02177968
290	30.98234134
291	30.94147362
292	30.88756352
293	30.84198876
294	30.78488427
295	30.7326808
296	30.71736332
297	30.67589852
298	30.63146128
299	30.59956487
300	30.57517936
301	30.55075614
302	30.48111242
303	30.45106858
304	30.40751847
305	30.37055586
306	30.33279913
307	30.27188118
308	30.23416914
309	30.21448963
310	30.16562865
311	30.10406637
312	30.06655574
313	30.00765638
314	29.97018637
315	29.92928304
316	29.88602919
317	29.83890027
318	29.77613849
319	29.74720098
320	29.68741182
321	29.6474644
322	29.63028209
323	29.5756467
324	29.51850115
325	29.48107628
326	29.42215952
327	29.37644324
328	29.34100101
329	29.30528093
330	29.28368795
331	29.23524907
332	29.22048497
333	29.17232714
334	29.13361988
335	29.07982097
336	29.0321694
337	29.01486588
338	28.97412734
339	28.91488847
340	28.87686583
341	28.8435147
342	28.82218931
343	28.79941211
344	28.77313179
345	28.73112987
346	28.69898868
347	28.68100672
348	28.64473282
349	28.59749188
350	28.56579827
351	28.51970038
352	28.48912122
353	28.41917082
354	28.39028095
355	28.35110866
356	28.29498453
357	28.25110043
358	28.2150782
359	28.20420518
360	28.14665279
361	28.09587013
362	28.06056888
363	28.0389879
364	28.00638082
365	27.95771381
366	27.92524345
367	27.90479251
368	27.86319433
369	27.83709668
370	27.81056727
371	27.77973991
372	27.73463253
373	27.69720687
374	27.66901442
375	27.63610125
376	27.59299409
377	27.55566246
378	27.53323603
379	27.51634805
380	27.47816337
381	27.44677946
382	27.4067147
383	27.39823253
384	27.36949275
385	27.33821481
386	27.28598066
387	27.25425022
388	27.21821801
389	27.19393678
390	27.15502648
391	27.11646883
392	27.07188115
393	27.02258147
394	26.99111966
395	26.96373761
396	26.93526286
397	26.90006569
398	26.86195779
399	26.82165623
400	26.79236954
401	26.76420846
402	26.72679943
403	26.69404875
404	26.66757987
405	26.62028096
406	26.59893513
407	26.58600853
408	26.54837725
409	26.53650054
410	26.5095644
411	26.48573786
412	26.45818897
413	26.41866718
414	26.38145384
415	26.35247295
416	26.33805872
417	26.30211854
418	26.27748841
419	26.26717778
420	26.23985524
421	26.19575935
422	26.157874
423	26.13907955
424	26.11871629
425	26.0970986
426	26.07563129
427	26.07073329
428	26.05257895
429	26.02835421
430	25.98789342
431	25.97966878
432	25.95839998
433	25.94099718
434	25.90962578
435	25.88746419
436	25.86754542
437	25.83127949
438	25.80675036
439	25.77540395
440	25.74413674
441	25.73661531
442	25.71263199
443	25.68038794
444	25.64910775
445	25.62371204
446	25.60594554
447	25.57590077
448	25.53728509
449	25.51655104
450	25.49779617
451	25.45351325
452	25.42391627
453	25.41543926
454	25.39099703
455	25.37088751
456	25.34847351
457	25.31988309
458	25.29111682
459	25.2574138
460	25.22742136
461	25.20092789
462	25.17189085
463	25.16123252
464	25.12988876
465	25.10724984
466	25.09205996
467	25.06632436
468	25.03572527
469	25.00207974
470	24.98478104
471	24.9525941
472	24.925618
473	24.89736776
474	24.89176207
475	24.87483764
476	24.85552243
477	24.83016735
478	24.81548883
479	24.79624141
480	24.7799568
481	24.76162627
482	24.73526505
483	24.71107436
484	24.67850227
485	24.65495113
486	24.63840381
487	24.60959791
488	24.58353915
489	24.57375809
490	24.55125348
491	24.52748309
492	24.50144226
493	24.47066577
494	24.44600582
495	24.42717911
496	24.40901459
497	24.39553867
498	24.38079888
499	24.36547982
500	24.34981146
501	24.33919737
502	24.31803312
503	24.30145558
504	24.2719601
505	24.25321476
506	24.23014401
507	24.20132833
508	24.18398677
509	24.16099057
510	24.1450284
511	24.12647449
512	24.11247797
513	24.09727203
514	24.07475359
515	24.04740392
516	24.04153113
517	24.02341881
518	23.99896815
519	23.98286149
520	23.96424362
521	23.94251179
522	23.91973689
523	23.88993914
